DATE,OPPONENT,ARENA,HOME
10-29-2014,Toronto Raptors,Air Canada Centre,False
11-1-2014,Indiana Pacers,Philips Arena,True
11-5-2014,San-Antonio Spurs,AT&T Center,False
11-7-2014,Charlotte Bobcats,Time Warner Cable Arena,False
11-8-2014,New York Knicks,Philips Arena,True
11-10-2014,New York Knicks,Madison Square Garden,False
11-12-2014,Utah Jazz,Philips Arena,True
11-14-2014,Miami Heat,Philips Arena,True
11-15-2014,Cleveland Cavaliers,Quicken Loans Arena,False
11-18-2014,Los Angeles Lakers,Philips Arena,True
11-21-2014,Detroit Pistons,Philips Arena,True
11-25-2014,Washington Wizards,Verizon Center,False
11-26-2014,Toronto Raptors,Philips Arena,True
11-28-2014,New Orleans Pelicans,Philips Arena,True
11-29-2014,Charlotte Bobcats,Philips Arena,True
12-2-2014,Boston Celtics,Philips Arena,True
12-3-2014,Miami Heat,AmericanAirlines Arena,False
12-5-2014,Brooklyn Nets,Barclays Center,False
12-7-2014,Denver Nuggets,Philips Arena,True
12-8-2014,Indiana Pacers,Bankers Life Fieldhouse,False
12-10-2014,Philadelphia 76ers,Philips Arena,True
12-12-2014,Orlando Magic,Philips Arena,True
12-13-2014,Orlando Magic,Amway Center,False
12-15-2014,Chicago Bulls,Philips Arena,True
12-17-2014,Cleveland Cavaliers,Quicken Loans Arena,False
12-20-2014,Houston Rockets,Toyota Center,False
12-22-2014,Dallas Mavericks,American Airlines Center,False
12-23-2014,Los Angeles Clippers,Philips Arena,True
12-26-2014,Milwaukee Bucks,Philips Arena,True
12-27-2014,Milwaukee Bucks,BMO Harris Bradley Center,False
12-30-2014,Cleveland Cavaliers,Philips Arena,True
1-2-2015,Utah Jazz,EnergySolutions Arena,False
1-3-2015,Portland Trail Blazers,Moda Center,False
1-5-2015,Los Angeles Clippers,Staples Center,False
1-7-2015,Memphis Grizzlies,Philips Arena,True
1-9-2015,Detroit Pistons,The Palace of Auburn Hills,False
1-11-2015,Washington Wizards,Philips Arena,True
1-13-2015,Philadelphia 76ers,Wells Fargo Center,False
1-14-2015,Boston Celtics,TD Garden,False
1-16-2015,Toronto Raptors,Air Canada Centre,False
1-17-2015,Chicago Bulls,United Center,False
1-19-2015,Detroit Pistons,Philips Arena,True
1-21-2015,Indiana Pacers,Philips Arena,True
1-23-2015,Oklahoma City Thunder,Philips Arena,True
1-25-2015,Minnesota Timberwolves,Philips Arena,True
1-28-2015,Brooklyn Nets,Philips Arena,True
1-30-2015,Portland Trail Blazers,Philips Arena,True
1-31-2015,Philadelphia 76ers,Philips Arena,True
2-2-2015,New Orleans Pelicans,New Orleans Arena,False
2-4-2015,Washington Wizards,Philips Arena,True
2-6-2015,Golden State Warriors,Philips Arena,True
2-8-2015,Memphis Grizzlies,FedExForum,False
2-9-2015,Minnesota Timberwolves,Target Center,False
2-11-2015,Boston Celtics,TD Garden,False
2-20-2015,Toronto Raptors,Philips Arena,True
2-22-2015,Milwaukee Bucks,BMO Harris Bradley Center,False
2-25-2015,Dallas Mavericks,Philips Arena,True
2-27-2015,Orlando Magic,Philips Arena,True
2-28-2015,Miami Heat,AmericanAirlines Arena,False
3-3-2015,Houston Rockets,Philips Arena,True
3-6-2015,Cleveland Cavaliers,Philips Arena,True
3-7-2015,Philadelphia 76ers,Wells Fargo Center,False
3-9-2015,Sacramento Kings,Philips Arena,True
3-11-2015,Denver Nuggets,Pepsi Center,False
3-13-2015,Phoenix Suns,US Airways Center,False
3-15-2015,Los Angeles Lakers,Staples Center,False
3-16-2015,Sacramento Kings,Sleep Train Arena,False
3-18-2015,Golden State Warriors,Oracle Arena,False
3-20-2015,Oklahoma City Thunder,Chesapeake Energy Arena,False
3-22-2015,San-Antonio Spurs,Philips Arena,True
3-25-2015,Orlando Magic,Amway Center,False
3-27-2015,Miami Heat,Philips Arena,True
3-28-2015,Charlotte Bobcats,Time Warner Cable Arena,False
3-30-2015,Milwaukee Bucks,Philips Arena,True
3-31-2015,Detroit Pistons,The Palace of Auburn Hills,False
4-4-2015,Brooklyn Nets,Philips Arena,True
4-7-2015,Phoenix Suns,Philips Arena,True
4-8-2015,Brooklyn Nets,Barclays Center,False
4-10-2015,Charlotte Bobcats,Philips Arena,True
4-12-2015,Washington Wizards,Verizon Center,False
4-13-2015,New York Knicks,Philips Arena,True
4-15-2015,Chicago Bulls,United Center,False
